observed_at,price_value
2017-07-11,1150.59000000
2017-07-12,1145.84000000
2017-07-13,1137.51000000
2017-07-14,1134.56000000
2017-07-17,1127.51000000
2017-07-18,1124.09000000
2017-07-19,1122.23000000
2017-07-20,1124.53000000
2017-07-21,1118.63000000
2017-07-24,1115.32000000
2017-07-25,1116.69000000
2017-07-26,1119.81000000
2017-07-27,1114.57000000
2017-07-28,1123.39000000
2017-07-31,1122.17000000
2017-08-01,1122.16000000
2017-08-02,1123.87000000
2017-08-03,1126.93000000
2017-08-04,1124.13000000
2017-08-07,1129.57000000
2017-08-08,1125.63000000
2017-08-09,1138.68000000
2017-08-10,1143.21000000
2017-08-11,1144.47000000
2017-08-14,1139.65000000
2017-08-15,1137.97000000
2017-08-16,1140.03000000
2017-08-17,1138.71000000
2017-08-18,1141.39000000
2017-08-21,1138.97000000
2017-08-22,1134.26000000
2017-08-23,1131.61000000
2017-08-24,1127.72000000
2017-08-25,1123.86000000
2017-08-28,1119.97000000
2017-08-29,1123.67000000
2017-08-30,1123.16000000
2017-08-31,1125.77000000
2017-09-01,1120.27000000
2017-09-04,1129.84000000
2017-09-05,1130.06000000
2017-09-06,1134.81000000
2017-09-07,1128.45000000
2017-09-08,1130.61000000
2017-09-11,1131.75000000
2017-09-12,1128.01000000
2017-09-13,1126.94000000
2017-09-14,1132.07000000
2017-09-15,1131.01000000
2017-09-18,1127.28000000
2017-09-19,1128.94000000
2017-09-20,1127.21000000
2017-09-21,1133.53000000
2017-09-22,1130.99000000
2017-09-25,1131.99000000
2017-09-26,1138.16000000
2017-09-27,1142.24000000
2017-09-28,1146.33000000
2017-09-29,1145.04000000
2017-10-02,1146.05000000
2017-10-03,1144.34000000
2017-10-04,1139.11000000
2017-10-05,1139.20000000
2017-10-06,1142.15000000
2017-10-09,1143.46000000
2017-10-10,1132.70000000
2017-10-11,1131.95000000
2017-10-12,1131.80000000
2017-10-13,1129.45000000
2017-10-16,1126.91000000
2017-10-17,1129.47000000
2017-10-18,1131.40000000
2017-10-19,1131.62000000
2017-10-20,1130.54000000
2017-10-23,1129.81000000
2017-10-24,1128.99000000
2017-10-25,1124.63000000
2017-10-26,1123.47000000
2017-10-27,1128.30000000
2017-10-30,1124.71000000
2017-10-31,1118.32000000
2017-11-01,1112.22000000
2017-11-02,1112.01000000
2017-11-03,1114.13000000
2017-11-06,1112.04000000
2017-11-07,1111.55000000
2017-11-08,1113.31000000
2017-11-09,1117.72000000
2017-11-10,1119.32000000
2017-11-13,1119.60000000
2017-11-14,1114.91000000
2017-11-15,1103.22000000
2017-11-16,1097.26000000
2017-11-17,1096.30000000
2017-11-20,1095.92000000
2017-11-21,1089.50000000
2017-11-22,1089.60000000
2017-11-23,1084.19000000
2017-11-24,1083.91000000
2017-11-27,1087.23000000
2017-11-28,1080.44000000
2017-11-29,1077.93000000
2017-11-30,1086.39000000
2017-12-01,1083.27000000
2017-12-04,1085.48000000
2017-12-05,1086.23000000
2017-12-06,1092.92000000
2017-12-07,1092.78000000
2017-12-08,1094.64000000
2017-12-11,1089.87000000
2017-12-12,1088.96000000
2017-12-13,1090.72000000
2017-12-14,1088.00000000
2017-12-15,1088.20000000
2017-12-18,1087.10000000
2017-12-19,1083.72000000
2017-12-20,1081.97000000
2017-12-21,1080.88000000
2017-12-22,1076.81000000
2017-12-27,1074.17000000
2017-12-28,1069.52000000
2017-12-29,1066.96000000
2018-01-02,1062.24000000
2018-01-03,1065.78000000
2018-01-04,1063.52000000
2018-01-05,1063.68000000
2018-01-08,1067.29000000
2018-01-09,1068.40000000
2018-01-10,1068.17000000
2018-01-11,1067.10000000
2018-01-12,1062.49000000
2018-01-15,1063.57000000
2018-01-16,1064.92000000
2018-01-17,1068.30000000
2018-01-18,1067.93000000
2018-01-19,1066.44000000
2018-01-22,1070.33000000
2018-01-23,1075.88000000
2018-01-24,1064.87000000
2018-01-25,1059.41000000
2018-01-26,1064.39000000
2018-01-29,1070.15000000
2018-01-30,1070.16000000
2018-01-31,1065.29000000
2018-02-01,1071.08000000
2018-02-02,1084.83000000
2018-02-05,1087.33000000
2018-02-06,1086.78000000
2018-02-07,1082.61000000
2018-02-08,1089.92000000
2018-02-09,1088.72000000
2018-02-12,1083.18000000
2018-02-13,1085.09000000
2018-02-14,1078.06000000
2018-02-15,1065.20000000
2018-02-16,1064.87000000
2018-02-19,1066.86000000
2018-02-20,1072.69000000
2018-02-21,1073.77000000
2018-02-22,1084.44000000
2018-02-23,1076.81000000
2018-02-26,1071.56000000
2018-02-27,1071.87000000
2018-02-28,1080.93000000
2018-03-01,1087.41000000
2018-03-02,1084.18000000
2018-03-05,1079.62000000
2018-03-06,1061.09000000
2018-03-07,1069.27000000
2018-03-08,1071.84000000
2018-03-09,1070.30000000
2018-03-12,1066.62000000
2018-03-13,1063.86000000
2018-03-14,1062.31000000
2018-03-15,1065.24000000
2018-03-16,1067.74000000
2018-03-19,1073.33000000
2018-03-20,1071.14000000
2018-03-21,1072.13000000
2018-03-22,1080.32000000
2018-03-23,1077.51000000
2018-03-26,1077.26000000
2018-03-27,1073.74000000
2018-03-28,1065.87000000
2018-03-29,1063.95000000
2018-04-03,1054.49000000
2018-04-04,1064.23000000
2018-04-05,1059.88000000
2018-04-06,1071.56000000
2018-04-09,1070.13000000
2018-04-10,1067.47000000
2018-04-11,1069.61000000
2018-04-12,1071.05000000
2018-04-13,1068.65000000
2018-04-16,1073.83000000
2018-04-17,1068.71000000
2018-04-18,1065.19000000
2018-04-19,1061.52000000
2018-04-20,1069.35000000
2018-04-23,1077.24000000
2018-04-24,1076.44000000
2018-04-25,1083.80000000
2018-04-26,1077.05000000
2018-04-27,1070.27000000
2018-04-30,1069.66000000
2018-05-02,1075.66000000
2018-05-03,1074.85000000
2018-05-04,1076.38000000
2018-05-07,1082.25000000
2018-05-08,1077.42000000
2018-05-09,1077.15000000
2018-05-10,1069.83000000
2018-05-11,1066.76000000
2018-05-14,1068.35000000
2018-05-15,1076.43000000
2018-05-16,1081.55000000
2018-05-17,1080.56000000
2018-05-18,1080.87000000
2018-05-21,1084.16000000
2018-05-22,1075.06000000
2018-05-23,1081.95000000
2018-05-24,1078.42000000
2018-05-25,1078.84000000
2018-05-28,1074.23000000
2018-05-29,1080.21000000
2018-05-30,1079.27000000
2018-05-31,1078.08000000
2018-06-01,1074.79000000
2018-06-04,1069.17000000
2018-06-05,1070.95000000
2018-06-06,1067.11000000
2018-06-07,1069.97000000
2018-06-08,1074.92000000
2018-06-11,1075.62000000
2018-06-12,1079.18000000
2018-06-13,1084.56000000
2018-06-14,1082.30000000
2018-06-15,1097.73000000
2018-06-18,1104.42000000
2018-06-19,1116.62000000
2018-06-20,1107.26000000
2018-06-21,1110.06000000
2018-06-22,1110.71000000
2018-06-25,1114.49000000
2018-06-26,1119.19000000
2018-06-27,1118.18000000
2018-06-28,1122.57000000
