observed_at,price_value
2017-10-05,1446670.10780787
2017-10-06,1452357.91212012
2017-10-09,1465687.08383515
2017-10-10,1461862.59235079
2017-10-11,1455461.36527312
2017-10-12,1463756.99526579
2017-10-13,1469979.17500000
2017-10-16,1464870.33650787
2017-10-17,1449110.01000000
2017-10-18,1448078.88761747
2017-10-19,1456281.80562284
2017-10-20,1444151.82359648
2017-10-23,1443558.18183138
2017-10-24,1439462.25000000
2017-10-25,1434353.12945222
2017-10-26,1422650.11585904
2017-10-27,1431248.55000000
2017-10-30,1432992.98354583
2017-10-31,1416911.44000000
2017-11-01,1417079.47485071
2017-11-02,1417701.57614416
2017-11-03,1411045.64500000
2017-11-06,1422744.00314490
2017-11-07,1415781.18072301
2017-11-08,1426818.06882410
2017-11-09,1436940.80471645
2017-11-10,1424222.79532260
2017-11-13,1430065.13467007
2017-11-14,1428757.16500000
2017-11-15,1408260.33000000
2017-11-16,1401639.95078412
2017-11-17,1420585.59353233
2017-11-20,1396859.60524859
2017-11-21,1395758.42340531
2017-11-22,1407327.33340286
2017-11-24,1394666.94407267
2017-11-27,1406658.22708944
2017-11-28,1398845.61524211
2017-11-29,1382014.02668773
2017-11-30,1383191.69495158
2017-12-01,1385285.72889607
2017-12-04,1383227.21700399
2017-12-05,1370387.74148513
2017-12-06,1380139.42936728
2017-12-07,1365756.49736045
2017-12-08,1363045.67454873
2017-12-11,1355471.26578165
2017-12-12,1348676.96000000
2017-12-13,1358382.71462448
2017-12-14,1364134.45312704
2017-12-15,1364929.31313681
2017-12-18,1372137.56691691
2017-12-19,1366245.75108195
2017-12-20,1369882.19058911
2017-12-21,1369799.27677937
2017-12-22,1373363.50028493
2017-12-26,1382731.69471507
2017-12-27,1382456.79000000
2017-12-28,1384065.80589302
2017-12-29,1393769.90009966
2018-01-02,1395464.63613082
2018-01-03,1402779.58395796
2018-01-04,1403208.31396052
2018-01-05,1404376.75593949
2018-01-08,1407328.56794745
2018-01-09,1401420.22783003
2018-01-10,1407207.18407403
2018-01-11,1409212.23395209
2018-01-12,1416724.19193538
2018-01-16,1422094.19399470
2018-01-17,1429385.40000000
2018-01-18,1416075.18000000
2018-01-19,1420391.46203180
2018-01-22,1424502.22312676
2018-01-23,1437052.86346478
2018-01-24,1443857.25899348
2018-01-25,1443340.20986020
2018-01-26,1438629.49801824
2018-01-30,1429091.69012261
2018-01-31,1426423.31000000
2018-02-01,1439852.89630084
2018-02-02,1446837.71802775
2018-02-05,1449410.89000000
2018-02-06,1441178.93147170
2018-02-07,1419951.24957349
2018-02-08,1435315.67460495
2018-02-09,1429598.20542434
2018-02-12,1434346.90310832
2018-02-13,1441108.00251295
2018-02-14,1461310.33000000
2018-02-15,1440256.89399847
2018-02-16,1440982.03200240
2018-02-20,1425390.52437945
2018-02-21,1428114.10000000
2018-02-22,1442955.83752882
2018-02-23,1430218.98941937
2018-02-26,1425924.83967573
2018-02-27,1410044.98500000
2018-02-28,1421963.41500000
2018-03-01,1416786.51554368
2018-03-02,1432310.17153517
2018-03-05,1423047.09564648
2018-03-06,1415069.59809879
2018-03-07,1417852.02000000
2018-03-08,1414721.64216361
2018-03-09,1415364.74612602
2018-03-12,1407298.45403619
2018-03-13,1410571.99996882
2018-03-14,1406923.38993099
2018-03-15,1402708.08401567
2018-03-16,1400127.51413774
2018-03-19,1413360.99641070
2018-03-20,1404371.62785347
2018-03-21,1415962.03864789
2018-03-22,1433152.48562939
2018-03-23,1453884.29561481
2018-03-26,1459040.97029592
2018-03-27,1440207.51443072
2018-03-28,1411425.00195357
2018-03-29,1407393.11195268
2018-04-02,1427927.26902898
2018-04-03,1405424.32349075
2018-04-04,1421598.48596635
2018-04-05,1403599.13575394
2018-04-06,1427210.79015678
2018-04-09,1430014.77125445
2018-04-10,1432544.74000000
2018-04-11,1450925.96500000
2018-04-12,1433493.34614433
2018-04-13,1437120.57218218
2018-04-16,1446985.92500000
2018-04-17,1439766.05981489
2018-04-18,1439284.67598677
2018-04-19,1429655.18783402
2018-04-20,1429400.09278364
2018-04-23,1424649.90000000
2018-04-24,1433172.24227590
2018-04-25,1431916.50707805
2018-04-26,1417720.96759235
2018-04-27,1413077.53326128
2018-04-30,1407886.43976850
2018-05-01,1394622.76023150
2018-05-02,1401154.68974314
2018-05-03,1408805.84251507
2018-05-04,1412963.97344036
2018-05-07,1420128.39715373
2018-05-08,1413575.04000000
2018-05-09,1412466.84759723
2018-05-10,1413031.51623980
2018-05-11,1407056.44000000
2018-05-14,1406482.77500000
2018-05-15,1387410.65327566
2018-05-16,1395415.75718791
2018-05-17,1391977.33923626
2018-05-18,1394538.42122112
2018-05-21,1398783.17906047
2018-05-22,1388654.94950482
2018-05-23,1394958.18783162
2018-05-24,1405936.10134075
2018-05-25,1406052.22467976
2018-05-29,1402868.67425335
2018-05-30,1404669.90500000
2018-05-31,1401611.78168407
2018-06-01,1391638.14448200
2018-06-04,1382543.70090156
2018-06-05,1389557.62500000
2018-06-06,1384148.35495184
2018-06-07,1389569.98675336
2018-06-08,1395353.62576120
2018-06-11,1397122.84425588
2018-06-12,1397645.99165722
2018-06-13,1406565.89047411
2018-06-14,1411319.20000000
2018-06-15,1399166.63120441
2018-06-18,1409460.75007117
2018-06-19,1424360.44474331
2018-06-20,1407548.85793249
2018-06-21,1406667.97779577
2018-06-22,1407713.88111243
2018-06-25,1410498.51679530
2018-06-26,1406374.12668057
2018-06-27,1400855.95860073
2018-06-28,1400742.90081509
2018-06-29,1391821.04431361
2018-07-02,1388898.40270230
2018-07-03,1392767.93683680
2018-07-05,1405674.02759243
2018-07-06,1402495.59959926
2018-07-09,1397874.88287805
2018-07-10,1400808.10455532
2018-07-11,1396546.84287076
2018-07-12,1401683.25000000
2018-07-13,1405049.38433200
2018-07-16,1395425.33948822
2018-07-17,1381731.55495394
2018-07-18,1390894.04138396
2018-07-19,1393169.30782008
2018-07-20,1393552.18500000
2018-07-23,1388383.20000000
2018-07-24,1380987.59254302
2018-07-25,1382529.74940584
2018-07-26,1371943.95867397
2018-07-27,1367392.49069912
2018-07-30,1365120.34258022
2018-07-31,1368830.76537876
2018-08-01,1361393.00528599
2018-08-02,1367977.97241670
2018-08-03,1365416.41308871
2018-08-06,1360388.04652435
2018-08-07,1354691.49266202
2018-08-08,1358754.65064786
2018-08-09,1356928.10033114
2018-08-10,1367501.42643769
2018-08-13,1352363.81543182
2018-08-14,1345704.00000000
2018-08-15,1337039.47500000
2018-08-16,1328847.18083284
2018-08-17,1324480.17000000
2018-08-20,1331969.43080289
2018-08-21,1335258.78467008
2018-08-22,1337750.56660366
2018-08-23,1332419.37000000
2018-08-24,1345386.44446010
2018-08-27,1345266.39000000
2018-08-28,1334913.54098794
2018-08-29,1342174.35000000
2018-08-30,1329159.49781042
2018-08-31,1341239.28056362
2018-09-04,1332925.68442906
2018-09-05,1340940.70539339
2018-09-06,1343456.85637606
2018-09-07,1340114.37259367
2018-09-10,1347028.23000000
2018-09-11,1349020.88154693
2018-09-12,1359503.89489535
2018-09-13,1347730.48000000
2018-09-14,1337133.30000000
2018-09-17,1349626.45406771
2018-09-18,1345574.26290006
2018-09-19,1348579.81722446
2018-09-20,1349400.00937290
2018-09-21,1335078.76550084
2018-09-24,1339690.11254604
2018-09-25,1341888.00000000
2018-09-26,1331835.36000000
2018-09-27,1314717.65429896
2018-09-28,1323399.05000000
2018-10-01,1319615.94586511
2018-10-02,1344295.25129062
2018-10-03,1342012.17368618
2018-10-04,1351315.50088411
2018-10-05,1355337.92890413
2018-10-08,1346378.57174831
2018-10-09,1350736.74444367
2018-10-10,1352436.33652801
2018-10-11,1396001.26500000
2018-10-12,1377878.14938814
2018-10-15,1384728.26756133
2018-10-16,1378994.33486539
2018-10-17,1379158.79296664
2018-10-18,1392862.46000000
2018-10-19,1384589.05517790
2018-10-22,1382007.56074007
2018-10-23,1403189.87177028
2018-10-24,1391932.35935759
2018-10-25,1395765.93228000
2018-10-26,1410300.45000000
2018-10-29,1395844.28500000
2018-10-30,1393226.02818334
2018-10-31,1382931.28070282
2018-11-01,1394826.00000000
2018-11-02,1375961.59228672
2018-11-05,1383033.13491422
2018-11-06,1371684.04673062
2018-11-07,1373025.13332310
2018-11-08,1365783.66326206
2018-11-09,1359697.27551178
2018-11-12,1365121.33648895
2018-11-13,1360120.59261750
2018-11-14,1367524.01263578
2018-11-15,1371021.94320036
2018-11-16,1381335.25525115
2018-11-19,1378225.74549408
2018-11-20,1374678.49000000
2018-11-21,1382837.29308561
2018-11-23,1382281.89000000
2018-11-26,1376507.56491488
2018-11-27,1367699.09686068
2018-11-28,1378056.79154083
2018-11-29,1371236.79265592
2018-11-30,1368588.46723178
2018-12-03,1372442.31915075
2018-12-04,1371787.80301963
2018-12-06,1388541.50362394
2018-12-07,1402026.65490934
2018-12-10,1401450.85297640
2018-12-11,1401533.85354766
2018-12-12,1404554.30755157
2018-12-13,1397291.82509555
2018-12-14,1403252.80000000
2018-12-17,1410310.46759795
2018-12-18,1410221.82487581
2018-12-19,1409864.57251434
2018-12-20,1417632.81261442
2018-12-21,1409020.49487515
2018-12-24,1426165.65000000
2018-12-26,1428078.40105746
2018-12-27,1433513.84480191
2018-12-28,1429584.33226475
2018-12-31,1426710.68449916
2019-01-02,1437025.80000000
2019-01-03,1456142.85104215
2019-01-04,1438868.67022495
2019-01-07,1440443.97466030
2019-01-08,1445422.08899691
2019-01-09,1445369.81974087
2019-01-10,1435652.19543248
2019-01-11,1438720.35271450
2019-01-14,1447749.50958586
2019-01-15,1444788.40514926
2019-01-16,1449756.39260100
2019-01-17,1450825.80000000
2019-01-18,1436978.00476285
2019-01-22,1451225.70000000
2019-01-23,1447118.64546967
2019-01-24,1444986.45142427
2019-01-25,1453217.76734164
2019-01-28,1456864.66730503
2019-01-29,1462960.00539341
2019-01-30,1464717.10829502
2019-01-31,1467638.31569616
2019-02-01,1471003.66526646
2019-02-04,1472804.63471890
2019-02-05,1468881.28542271
2019-02-06,1467739.98000000
2019-02-07,1473075.02746125
2019-02-08,1475061.71617221
2019-02-11,1470767.10000000
2019-02-12,1471030.15713412
2019-02-13,1472552.77485562
2019-02-14,1476707.86905241
2019-02-15,1485867.74048310
2019-02-19,1511083.33147553
2019-02-20,1508243.86182584
2019-02-21,1489268.37500000
2019-02-22,1494339.75310336
2019-02-25,1482011.49328403
2019-02-26,1481276.25871304
2019-02-27,1473781.51038609
2019-02-28,1473184.83079556
2019-03-01,1460200.16749420
2019-03-04,1446839.03098844
2019-03-05,1444621.70000000
2019-03-06,1449187.34153106
2019-03-07,1450154.85915739
2019-03-08,1474299.90000000
2019-03-11,1461744.12738250
2019-03-12,1464598.68416960
2019-03-13,1479645.45000000
2019-03-14,1469884.45774074
2019-03-15,1478909.94547332
2019-03-18,1471887.64327361
2019-03-19,1474297.65000000
2019-03-20,1468368.54000000
2019-03-21,1474325.65244599
2019-03-22,1488705.32029392
2019-03-25,1497646.63265531
2019-03-26,1491007.69039519
2019-03-27,1490076.77276760
2019-03-28,1469288.62362518
2019-03-29,1469041.95000000
2019-04-01,1462282.49170437
2019-04-02,1465930.20000000
2019-04-03,1463198.09268948
2019-04-04,1466134.38000000
2019-04-05,1467700.98776393
2019-04-08,1485685.34104103
2019-04-09,1485273.07500000
2019-04-10,1489219.04123143
2019-04-11,1470228.14214941
2019-04-12,1462624.04633639
2019-04-15,1457494.07530730
2019-04-16,1444464.60229343
2019-04-17,1441682.42866487
2019-04-18,1445946.82375026
2019-04-22,1447765.74000000
2019-04-23,1449629.50676728
2019-04-24,1468189.78500000
2019-04-25,1483946.82679661
2019-04-26,1491678.98533830
2019-04-29,1483866.41567122
2019-04-30,1495732.02893529
2019-05-01,1494099.61446182
2019-05-02,1476876.89220241
2019-05-03,1496599.98287134
2019-05-06,1500614.30282984
2019-05-07,1503055.51000000
2019-05-08,1500160.49862195
2019-05-09,1518431.84000000
2019-05-10,1517331.65437279
2019-05-13,1544453.76600214
2019-05-14,1537585.66200949
2019-05-15,1543219.28213114
2019-05-16,1528019.20000000
2019-05-17,1522262.80000000
2019-05-20,1523408.15085934
2019-05-21,1517915.76000000
2019-05-22,1515533.02695308
2019-05-23,1531070.52218973
2019-05-24,1523370.05000000
2019-05-28,1516801.12500000
2019-05-29,1530496.25482663
2019-05-30,1532833.10292964
2019-05-31,1555469.01816630
2019-06-03,1565071.49022239
2019-06-04,1566442.43889290
2019-06-05,1562678.59244605
2019-06-06,1577792.80320670
2019-06-07,1589764.53812034
2019-06-10,1570418.54511252
2019-06-11,1567168.15684090
2019-06-12,1573639.87884042
2019-06-13,1584568.16622337
2019-06-14,1586463.95510247
2019-06-17,1588769.10204856
2019-06-18,1595599.77707635
2019-06-19,1582056.33127919
2019-06-20,1616544.05232927
2019-06-21,1621756.05328151
2019-06-24,1635708.72147434
2019-06-25,1632907.82017109
2019-06-26,1631075.53979473
2019-06-27,1626561.18819111
2019-06-28,1629387.59156033
2019-07-01,1609471.36364608
2019-07-02,1638508.00952500
2019-07-03,1658411.22587915
2019-07-05,1635395.97282495
2019-07-08,1646839.48000000
2019-07-09,1652613.62500000
2019-07-10,1665483.18216910
2019-07-11,1647623.11829077
2019-07-12,1662229.83177866
2019-07-15,1664520.50478769
2019-07-16,1661136.71844017
2019-07-17,1678796.97867653
2019-07-18,1680017.07624380
2019-07-19,1674577.97731679
2019-07-22,1678005.74748756
2019-07-23,1673942.84622671
2019-07-24,1675005.58548561
2019-07-25,1669151.39581674
2019-07-26,1678298.27500000
2019-07-29,1681232.25109124
2019-07-30,1688432.75133323
2019-07-31,1685906.86914299
2019-08-01,1691226.25405400
2019-08-02,1735659.61069213
2019-08-05,1781100.03031500
2019-08-06,1786462.94961665
2019-08-07,1832304.08535872
2019-08-08,1810614.40196795
2019-08-09,1812607.06043583
2019-08-12,1834960.75952377
2019-08-13,1838197.01424819
2019-08-14,1840681.60463984
2019-08-15,1844110.55037724
2019-08-16,1827947.00000000
2019-08-19,1815048.91352902
2019-08-20,1817285.94251711
2019-08-21,1810003.67863526
2019-08-22,1811658.19408186
2019-08-23,1850391.83041264
2019-08-26,1852012.47925032
2019-08-27,1868554.96000000
2019-08-28,1866873.88127913
2019-08-29,1847477.15500000
2019-08-30,1835163.91651126
2019-09-03,1878206.69365717
2019-09-04,1868514.63685285
2019-09-05,1814282.37122438
2019-09-06,1795797.01578146
2019-09-09,1791794.05775655
2019-09-10,1776303.53120097
2019-09-11,1782385.85311405
2019-09-12,1772872.12023704
2019-09-13,1754789.32873057
2019-09-16,1779745.52609734
2019-09-17,1790466.93096186
2019-09-18,1795176.22500000
2019-09-19,1789419.27715091
2019-09-20,1791863.22504862
2019-09-23,1824371.66253438
2019-09-24,1829189.48185666
2019-09-25,1806272.27069580
2019-09-26,1810854.22500000
2019-09-27,1796521.41074706
2019-09-30,1756348.25148701
2019-10-01,1782208.74000000
2019-10-02,1811091.59000000
2019-10-03,1813644.11062501
2019-10-04,1800360.80163350
2019-10-07,1791848.22157979
2019-10-08,1794034.81348896
2019-10-09,1803268.56177366
2019-10-10,1783281.51025370
2019-10-11,1757014.26913596
2019-10-14,1767515.27214133
2019-10-15,1752537.00304803
2019-10-16,1768740.96000000
2019-10-17,1759362.06556862
2019-10-18,1755197.90440941
2019-10-21,1736794.69259900
2019-10-22,1738404.46771020
2019-10-23,1745939.34360486
2019-10-24,1758224.71763317
2019-10-25,1761642.59000000
2019-10-28,1743195.70000000
2019-10-29,1736771.39000000
2019-10-30,1744102.33896510
2019-10-31,1765421.02651259
2019-11-01,1760062.20000000
2019-11-04,1752778.56000000
2019-11-05,1711997.36045383
2019-11-06,1725755.85745144
2019-11-07,1690989.88160672
2019-11-08,1690753.38249729
2019-11-11,1697928.08000000
2019-11-12,1689779.69959457
2019-11-13,1710788.23984888
2019-11-14,1723639.75518530
2019-11-15,1709243.15388158
2019-11-18,1714304.56044937
2019-11-19,1718442.44395482
2019-11-20,1724541.90615698
2019-11-21,1719040.05431996
2019-11-22,1724117.01123526
2019-11-25,1712189.57330678
