instrument_code,observed_at,price_value
USD_KRW,2016-06-20,1158.04000000
EUR_KRW,2016-06-20,1312.29000000
JPY_KRW,2016-06-20,11.06760000
XAU_USD,2016-06-20,1290.00000000
XAU_KRW,2016-06-20,1493871.60000000
USD_KRW,2016-06-21,1152.60000000
EUR_KRW,2016-06-21,1304.05000000
JPY_KRW,2016-06-21,11.01490000
XAU_USD,2016-06-21,1270.50000000
XAU_KRW,2016-06-21,1464378.30000000
USD_KRW,2016-06-22,1150.07000000
EUR_KRW,2016-06-22,1297.62000000
JPY_KRW,2016-06-22,10.99580000
XAU_USD,2016-06-22,1268.00000000
XAU_KRW,2016-06-22,1458288.76000000
USD_KRW,2016-06-23,1145.38000000
EUR_KRW,2016-06-23,1304.47000000
JPY_KRW,2016-06-23,10.83630000
XAU_USD,2016-06-23,1261.19995117
XAU_KRW,2016-06-23,1444553.20007109
USD_KRW,2016-06-24,1171.96000000
EUR_KRW,2016-06-24,1296.89000000
JPY_KRW,2016-06-24,11.45360000
XAU_USD,2016-06-24,1320.00000000
XAU_KRW,2016-06-24,1546987.20000000
USD_KRW,2016-06-27,1184.68000000
EUR_KRW,2016-06-27,1302.91000000
JPY_KRW,2016-06-27,11.65390000
XAU_USD,2016-06-27,1322.50000000
XAU_KRW,2016-06-27,1566739.30000000
USD_KRW,2016-06-28,1168.78000000
EUR_KRW,2016-06-28,1294.19000000
JPY_KRW,2016-06-28,11.41260000
XAU_USD,2016-06-28,1315.30004883
XAU_KRW,2016-06-28,1537296.39107153
USD_KRW,2016-06-29,1157.03000000
EUR_KRW,2016-06-29,1283.15000000
JPY_KRW,2016-06-29,11.27050000
XAU_USD,2016-06-29,1323.90002441
XAU_KRW,2016-06-29,1531792.04524310
USD_KRW,2016-06-30,1151.58000000
EUR_KRW,2016-06-30,1278.48000000
JPY_KRW,2016-06-30,11.20980000
XAU_USD,2016-06-30,1318.40002441
XAU_KRW,2016-06-30,1518243.10011007
USD_KRW,2016-07-01,1145.72000000
EUR_KRW,2016-07-01,1275.76000000
JPY_KRW,2016-07-01,11.16250000
XAU_USD,2016-07-01,1336.69995117
XAU_KRW,2016-07-01,1531483.86805449
USD_KRW,2016-07-04,1148.17000000
EUR_KRW,2016-07-04,1278.83000000
JPY_KRW,2016-07-04,11.18930000
USD_KRW,2016-07-05,1157.26000000
EUR_KRW,2016-07-05,1289.88000000
JPY_KRW,2016-07-05,11.36460000
XAU_USD,2016-07-05,1356.40002441
XAU_KRW,2016-07-05,1569707.49224872
USD_KRW,2016-07-06,1164.60000000
EUR_KRW,2016-07-06,1289.10000000
JPY_KRW,2016-07-06,11.56350000
XAU_USD,2016-07-06,1364.90002441
XAU_KRW,2016-07-06,1589562.56842789
USD_KRW,2016-07-07,1155.80000000
EUR_KRW,2016-07-07,1280.63000000
JPY_KRW,2016-07-07,11.44440000
XAU_USD,2016-07-07,1360.09997559
XAU_KRW,2016-07-07,1572003.55178692
USD_KRW,2016-07-08,1157.10000000
EUR_KRW,2016-07-08,1280.91000000
JPY_KRW,2016-07-08,11.52210000
XAU_USD,2016-07-08,1356.59997559
XAU_KRW,2016-07-08,1569721.83175519
USD_KRW,2016-07-11,1148.32000000
EUR_KRW,2016-07-11,1268.78000000
JPY_KRW,2016-07-11,11.20530000
XAU_USD,2016-07-11,1355.00000000
XAU_KRW,2016-07-11,1555973.60000000
USD_KRW,2016-07-12,1146.14000000
EUR_KRW,2016-07-12,1271.30000000
JPY_KRW,2016-07-12,11.02700000
XAU_USD,2016-07-12,1334.09997559
XAU_KRW,2016-07-12,1529065.34602272
USD_KRW,2016-07-13,1143.05000000
EUR_KRW,2016-07-13,1265.58000000
JPY_KRW,2016-07-13,10.92710000
XAU_USD,2016-07-13,1342.40002441
XAU_KRW,2016-07-13,1534430.34790185
USD_KRW,2016-07-14,1131.35000000
EUR_KRW,2016-07-14,1262.25000000
JPY_KRW,2016-07-14,10.70790000
XAU_USD,2016-07-14,1331.30004883
XAU_KRW,2016-07-14,1506166.31024382
USD_KRW,2016-07-15,1132.33000000
EUR_KRW,2016-07-15,1260.06000000
JPY_KRW,2016-07-15,10.71210000
XAU_USD,2016-07-15,1326.50000000
XAU_KRW,2016-07-15,1502035.74500000
USD_KRW,2016-07-18,1137.79000000
EUR_KRW,2016-07-18,1257.60000000
JPY_KRW,2016-07-18,10.76530000
XAU_USD,2016-07-18,1328.40002441
XAU_KRW,2016-07-18,1511440.26377345
USD_KRW,2016-07-19,1139.65000000
EUR_KRW,2016-07-19,1257.60000000
JPY_KRW,2016-07-19,10.73040000
XAU_USD,2016-07-19,1331.50000000
XAU_KRW,2016-07-19,1517443.97500000
USD_KRW,2016-07-20,1141.43000000
EUR_KRW,2016-07-20,1257.06000000
JPY_KRW,2016-07-20,10.71390000
XAU_USD,2016-07-20,1318.80004883
XAU_KRW,2016-07-20,1505317.93973603
USD_KRW,2016-07-21,1138.07000000
EUR_KRW,2016-07-21,1253.58000000
JPY_KRW,2016-07-21,10.70980000
XAU_USD,2016-07-21,1330.50000000
XAU_KRW,2016-07-21,1514202.13500000
USD_KRW,2016-07-22,1136.00000000
EUR_KRW,2016-07-22,1251.19000000
JPY_KRW,2016-07-22,10.70670000
XAU_USD,2016-07-22,1323.09997559
XAU_KRW,2016-07-22,1503041.57227024
USD_KRW,2016-07-25,1138.65000000
EUR_KRW,2016-07-25,1250.46000000
JPY_KRW,2016-07-25,10.72070000
XAU_USD,2016-07-25,1319.30004883
XAU_KRW,2016-07-25,1502221.00060028
USD_KRW,2016-07-26,1135.96000000
EUR_KRW,2016-07-26,1249.22000000
JPY_KRW,2016-07-26,10.89400000
XAU_USD,2016-07-26,1320.69995117
XAU_KRW,2016-07-26,1500262.31653107
USD_KRW,2016-07-27,1134.72000000
EUR_KRW,2016-07-27,1247.17000000
JPY_KRW,2016-07-27,10.73020000
XAU_USD,2016-07-27,1326.59997559
XAU_KRW,2016-07-27,1505319.52430148
USD_KRW,2016-07-28,1128.20000000
EUR_KRW,2016-07-28,1251.17000000
JPY_KRW,2016-07-28,10.77290000
XAU_USD,2016-07-28,1332.30004883
XAU_KRW,2016-07-28,1503100.91509001
USD_KRW,2016-07-29,1121.96000000
EUR_KRW,2016-07-29,1246.83000000
JPY_KRW,2016-07-29,10.85810000
XAU_USD,2016-07-29,1349.00000000
XAU_KRW,2016-07-29,1513524.04000000
USD_KRW,2016-08-01,1107.32000000
EUR_KRW,2016-08-01,1236.21000000
JPY_KRW,2016-08-01,10.81740000
XAU_USD,2016-08-01,1351.40002441
XAU_KRW,2016-08-01,1496432.27502968
USD_KRW,2016-08-02,1106.96000000
EUR_KRW,2016-08-02,1239.02000000
JPY_KRW,2016-08-02,10.89540000
XAU_USD,2016-08-02,1364.40002441
XAU_KRW,2016-08-02,1510336.25102089
USD_KRW,2016-08-03,1117.27000000
EUR_KRW,2016-08-03,1251.34000000
JPY_KRW,2016-08-03,11.05230000
XAU_USD,2016-08-03,1356.09997559
XAU_KRW,2016-08-03,1515129.81972744
USD_KRW,2016-08-04,1115.19000000
EUR_KRW,2016-08-04,1241.88000000
JPY_KRW,2016-08-04,11.02330000
XAU_USD,2016-08-04,1358.80004883
XAU_KRW,2016-08-04,1515320.22645473
USD_KRW,2016-08-05,1109.47000000
EUR_KRW,2016-08-05,1237.73000000
JPY_KRW,2016-08-05,10.97960000
XAU_USD,2016-08-05,1336.40002441
XAU_KRW,2016-08-05,1482695.73508216
USD_KRW,2016-08-08,1108.85000000
EUR_KRW,2016-08-08,1229.38000000
JPY_KRW,2016-08-08,10.82300000
XAU_USD,2016-08-08,1333.40002441
XAU_KRW,2016-08-08,1478540.61706703
USD_KRW,2016-08-09,1105.49000000
EUR_KRW,2016-08-09,1224.66000000
JPY_KRW,2016-08-09,10.81190000
